"data.circle","data.time_span","data.color"
"none",12852.44244,"white"
"top-left",5163.2737,"Blue"
"top-right",11332.76707,"Red"
"bottom-left",7436.06729,"Green"
"bottom-right",3822.98379,"Red"
"center",14797.01727,"Orange"
"none",19351.69984,"white"
"top-left",2760.22426,"Blue"
"top-right",9409.37973,"Yellow"
"bottom-left",6425.30339,"Green"
"bottom-right",4452.41762182,"Orange"
"center",15030.607574,"Red"
"none",16482.937486,"white"
"top-left",9262.2321574,"Blue"
"top-right",2778.7779,"Yellow"
"bottom-left",6144.46289,"Green"
"bottom-right",3794.39618,"Red"
"center",6665.97805,"Yellow"
"none",15800.15319,"white"
"top-left",7131.36147,"Blue"
"top-right",12919.98558,"Orange"
"bottom-left",5098.57054,"Green"
"bottom-right",3412.17243,"Yellow"
"center",17414.954022,"Red"
"none",15198.19072,"white"
"top-left",3214.77328,"Blue"
"top-right",9027.8534,"Orange"
"bottom-left",3681.18,"Green"
"bottom-right",9166.04936,"Yellow"
"center",17706.65059,"Blue"
"none",7391.34277,"white"
"top-left",4617.92602,"Red"
"top-right",11843.359381,"Orange"
"bottom-left",6955.67186,"Yellow"
"bottom-right",2990.9084,"Green"
"center",13671.90803,"Orange"
"none",14793.25837,"white"
"top-left",5103.89911,"Blue"
"top-right",10371.73299,"Red"
"bottom-left",2626.33033,"Yellow"
"bottom-right",7448.02797,"Orange"
"center",12052.63627,"Green"
"none",16058.58967,"white"
"top-left",6828.29829,"Blue"
"top-right",9314.37757,"Red"
"bottom-left",4546.88744,"Yellow"
"bottom-right",7360.07897,"Red"
"center",11166.43034,"Orange"
"none",12650.93417,"white"
"top-left",8000.03729,"Blue"
"top-right",10200.798659,"Green"
"bottom-left",5384.32371,"Yellow"
"bottom-right",9249.339674,"Orange"
"center",9948.56472,"Red"
"none",15956.37159815,"white"
"top-left",8641.24874,"Blue"
"top-right",2049.69727,"Green"
"bottom-left",5635.3513,"Yellow"
"bottom-right",8552.863204,"Red"
"center",15902.5121,"Green"
"none",10346.28578,"white"
"top-left",6593.537389,"Blue"
"top-right",6872.79392,"Orange"
"bottom-left",2761.93203,"Yellow"
"bottom-right",10197.34606,"Green"
"center",17221.38339,"Red"
"none",13137.34838,"white"
"top-left",5019.46303,"Blue"
"top-right",9106.60861,"Orange"
"bottom-left",3114.74092,"Orange"
"bottom-right",13509.55848,"Green"
"center",18672.603959,"Yellow"
"none",10890.54501,"white"
"top-left",3193.30721,"Blue"
"top-right",5167.26203,"Red"
"bottom-left",12121.9312,"Orange"
"bottom-right",1175.94043,"Yellow"
"center",15960.590732,"Green"
